제목,주최사,url,장소,장르,시작일,종료일,등록일
뉴호라이즌,(주)컬쳐앤아이리더스,https://www.sac.or.kr/site/main/show/show_view?SN=46452,한가람미술관,전시,2022-12-15,2023-03-25,2021-05-06
2022 서울시향 오스모 벤스케의 베토벤 교향곡 합창,(재)서울시립교향악단,https://www.sac.or.kr/site/main/show/show_view?SN=46601,콘서트홀,교향곡,2022-12-14,2022-12-14,2021-07-08
제11회 서울 유니스 필하모닉 오케스트라 정기연주회,"한국성악가협회, 서울 유니스 필하모닉 오케스트라",https://www.sac.or.kr/site/main/show/show_view?SN=46603,IBK챔버홀,교향곡,2022-12-14,2022-12-14,2021-07-15
제20회 클랑 목관5중주 정기연주회,-,https://www.sac.or.kr/site/main/show/show_view?SN=46602,리사이틀홀,실내악,2022-12-14,2022-12-14,2021-07-16
박은혜 피아노 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=46937,인춘아트홀,독주,2022-12-14,2022-12-14,2021-08-13
김채은 피아노 독주회,이든예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46938,인춘아트홀,독주,2022-12-13,2022-12-13,2021-08-12
베토벤 합창교향곡,"함신익 오케스트라, 심포니송",https://www.sac.or.kr/site/main/show/show_view?SN=46604,콘서트홀,클래식,2022-12-13,2022-12-13,2021-07-15
박하은 비올라 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=46605,리사이틀홀,독주,2022-12-13,2022-12-13,2021-07-15
첼리스트 이강호 독주회,프로아트엔터테인먼트,https://www.sac.or.kr/site/main/show/show_view?SN=46606,IBK챔버홀,독주,2022-12-13,2022-12-13,2021-07-15
앙상블 쉼표 제4회 정기연주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46609,IBK챔버홀,실내악,2022-12-11,2022-12-11,2021-07-15
제3회 에끌로 피아노 트리오 정기연주회,,https://www.sac.or.kr/site/main/show/show_view?SN=46939,인춘아트홀,실내악,2022-12-11,2022-12-11,2021-08-12
견지아 귀국 비올라 독주회,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=46608,리사이틀홀,독주,2022-12-11,2022-12-11,2021-07-14
